<DATE>;<OPEN>;<HIGH>;<LOW>;<CLOSE>
27.09.2018;117350;117370;117340;117370
27.09.2018;117360;117360;117300;117330
27.09.2018;117320;117350;117320;117330
27.09.2018;117330;117350;117310;117320
27.09.2018;117320;117340;117320;117330
27.09.2018;117320;117370;117320;117340
27.09.2018;117360;117370;117360;117370
27.09.2018;117360;117390;117350;117380
27.09.2018;117380;117400;117370;117380
27.09.2018;117370;117400;117370;117390
27.09.2018;117400;117400;117380;117390
27.09.2018;117380;117380;117350;117360
27.09.2018;117350;117350;117310;117340
27.09.2018;117350;117380;117350;117360
27.09.2018;117360;117370;117320;117320
27.09.2018;117320;117320;117310;117310
27.09.2018;117310;117350;117300;117350
27.09.2018;117350;117370;117340;117350
27.09.2018;117350;117370;117350;117350
27.09.2018;117350;117350;117320;117330
27.09.2018;117320;117320;117300;117310
27.09.2018;117300;117330;117280;117330
27.09.2018;117330;117360;117330;117360
27.09.2018;117350;117360;117330;117350
27.09.2018;117340;117340;117320;117340
27.09.2018;117330;117350;117330;117340
27.09.2018;117330;117370;117310;117350
27.09.2018;117350;117370;117350;117360
27.09.2018;117370;117390;117360;117360
27.09.2018;117370;117610;117370;117510
27.09.2018;117510;117510;117380;117400
27.09.2018;117380;117390;117320;117370
27.09.2018;117370;117390;117360;117370
27.09.2018;117380;117380;117340;117340
27.09.2018;117350;117370;117350;117360
27.09.2018;117360;117380;117330;117350
27.09.2018;117330;117350;117310;117350
27.09.2018;117350;117350;117300;117310
27.09.2018;117330;117340;117320;117340
27.09.2018;117320;117340;117310;117330
27.09.2018;117340;117360;117330;117340
27.09.2018;117330;117360;117300;117360
27.09.2018;117350;117350;117350;117350
27.09.2018;117350;117360;117330;117330
27.09.2018;117320;117340;117300;117320
27.09.2018;117320;117320;117270;117290
27.09.2018;117270;117290;117250;117270
27.09.2018;117260;117270;117250;117270
27.09.2018;117260;117270;117250;117250
27.09.2018;117270;117280;117250;117280
27.09.2018;117280;117300;117270;117300
27.09.2018;117290;117310;117290;117300
27.09.2018;117320;117320;117300;117300
27.09.2018;117310;117320;117300;117300
27.09.2018;117300;117310;117280;117290
27.09.2018;117300;117300;117290;117290
27.09.2018;117290;117290;117280;117280
27.09.2018;117270;117270;117270;117270
27.09.2018;117270;117290;117270;117290
27.09.2018;117290;117290;117290;117290
27.09.2018;117280;117300;117280;117280
27.09.2018;117270;117270;117240;117250
27.09.2018;117240;117240;117180;117200
27.09.2018;117200;117210;117160;117160
27.09.2018;117160;117180;117160;117170
27.09.2018;117170;117170;117140;117160
27.09.2018;117170;117180;117080;117080
27.09.2018;117080;117080;117040;117080
27.09.2018;117070;117090;117040;117080
27.09.2018;117090;117100;117050;117080
27.09.2018;117100;117100;117050;117060
27.09.2018;117050;117060;117000;117030
27.09.2018;117010;117030;117000;117010
27.09.2018;117010;117020;116990;117010
27.09.2018;117010;117020;116960;116970
27.09.2018;116960;117000;116960;116980
27.09.2018;116990;117030;116980;117010
27.09.2018;117010;117020;117000;117010
27.09.2018;117010;117010;116980;117000
27.09.2018;116990;117100;116960;117090
27.09.2018;117090;117090;116960;117050
02.10.2018;119190;119190;118670;118730
02.10.2018;118730;118760;118530;118640
02.10.2018;118630;118730;118560;118710
02.10.2018;118710;118760;118630;118700
02.10.2018;118690;118740;118600;118640
02.10.2018;118640;118640;118250;118370
02.10.2018;118380;118470;118330;118410
02.10.2018;118410;118450;118230;118350
02.10.2018;118340;118370;118240;118330
02.10.2018;118330;118370;118280;118330
02.10.2018;118320;118490;118310;118440
02.10.2018;118440;118470;118380;118470
02.10.2018;118470;118520;118400;118430
02.10.2018;118420;118550;118410;118460
02.10.2018;118480;118520;118440;118440
02.10.2018;118440;118500;118430;118490
02.10.2018;118470;118510;118440;118450
02.10.2018;118450;118710;118400;118630
02.10.2018;118630;118820;118600;118750
02.10.2018;118750;118790;118660;118680
02.10.2018;118700;118730;118670;118680
02.10.2018;118670;118720;118640;118650
02.10.2018;118650;118660;118550;118570
02.10.2018;118550;118570;118450;118470
02.10.2018;118470;118490;118330;118480
02.10.2018;118460;118480;118210;118240
02.10.2018;118240;118260;118190;118250
02.10.2018;118260;118290;118200;118260
02.10.2018;118270;118290;118230;118240
02.10.2018;118250;118340;118250;118290
02.10.2018;118290;118370;118270;118370
02.10.2018;118370;118400;118280;118310
02.10.2018;118300;118350;118240;118350
02.10.2018;118350;118350;118180;118330
02.10.2018;118320;118350;118260;118290
02.10.2018;118270;118380;118220;118320
02.10.2018;118330;118330;118200;118210
02.10.2018;118210;118250;118180;118240
02.10.2018;118230;118240;118140;118210
02.10.2018;118220;118270;118200;118250
02.10.2018;118240;118340;118240;118320
02.10.2018;118310;118320;118260;118270
02.10.2018;118270;118310;118190;118210
02.10.2018;118210;118270;118170;118260
02.10.2018;118250;118280;118210;118240
02.10.2018;118230;118290;118200;118270
02.10.2018;118270;118390;118260;118290
02.10.2018;118300;118370;118280;118320
02.10.2018;118320;118370;118250;118300
02.10.2018;118310;118460;118310;118410
02.10.2018;118420;118480;118410;118450
02.10.2018;118440;118570;118430;118530
02.10.2018;118530;118590;118480;118480
02.10.2018;118480;118500;118430;118480
02.10.2018;118480;118480;118410;118480
02.10.2018;118480;118480;118360;118380
02.10.2018;118390;118420;118360;118360
02.10.2018;118370;118370;118310;118310
02.10.2018;118310;118370;118260;118350
02.10.2018;118340;118340;118280;118310
02.10.2018;118290;118350;118270;118290
02.10.2018;118290;118360;118280;118340
02.10.2018;118320;118320;118010;118060
02.10.2018;118050;118150;118040;118060
02.10.2018;118060;118150;118060;118110
02.10.2018;118120;118240;118120;118240
02.10.2018;118240;118290;118180;118260
02.10.2018;118260;118290;118230;118240
02.10.2018;118240;118310;118240;118250
02.10.2018;118260;118260;118180;118190
02.10.2018;118200;118420;118190;118410
02.10.2018;118410;118420;118300;118340
02.10.2018;118350;118350;118260;118290
02.10.2018;118290;118290;118230;118250
02.10.2018;118260;118280;118230;118260
02.10.2018;118270;118340;118250;118250
02.10.2018;118270;118280;118140;118150
02.10.2018;118160;118190;118120;118190
02.10.2018;118190;118210;118120;118120
02.10.2018;118120;118130;118080;118080
02.10.2018;118090;118150;118060;118090
02.10.2018;118070;118110;118050;118070
02.10.2018;118060;118110;118050;118110
02.10.2018;118090;118100;118050;118080
02.10.2018;118090;118110;118030;118080
02.10.2018;118070;118080;118020;118070
02.10.2018;118070;118130;118050;118100
02.10.2018;118100;118150;118090;118120
02.10.2018;118120;118130;118070;118090
02.10.2018;118100;118110;118040;118060
02.10.2018;118060;118060;117890;117910
02.10.2018;117910;117940;117850;117880
02.10.2018;117890;117910;117820;117840
02.10.2018;117850;117850;117720;117810
02.10.2018;117800;117830;117770;117810
02.10.2018;117820;117870;117780;117860
02.10.2018;117840;117950;117840;117940
02.10.2018;117930;117940;117890;117920
02.10.2018;117890;117930;117760;117780
02.10.2018;117780;117790;117480;117500
02.10.2018;117500;117590;117440;117580
02.10.2018;117590;117650;117570;117600
02.10.2018;117620;117680;117610;117650
02.10.2018;117650;117660;117570;117630
02.10.2018;117620;117620;117500;117570
02.10.2018;117570;117570;117480;117540
02.10.2018;117530;117550;117480;117540
02.10.2018;117530;117560;117410;117530
02.10.2018;117520;117530;117470;117470
02.10.2018;117470;117490;117340;117380
02.10.2018;117370;117380;117230;117260
02.10.2018;117260;117280;117220;117250
02.10.2018;117260;117310;117240;117300
02.10.2018;117290;117330;117150;117330
02.10.2018;117330;117350;117300;117330
02.10.2018;117330;117380;117300;117340
02.10.2018;117340;117350;117300;117300
02.10.2018;117300;117360;117290;117330
02.10.2018;117330;117340;117300;117330
02.10.2018;117320;117360;117300;117310
02.10.2018;117310;117320;117260;117280
02.10.2018;117290;117300;117120;117220
02.10.2018;117210;117240;117180;117220
02.10.2018;117220;117260;117210;117220
02.10.2018;117220;117270;117190;117190
02.10.2018;117200;117270;117160;117250
02.10.2018;117250;117260;117200;117250
02.10.2018;117260;117320;117230;117310
02.10.2018;117310;117340;117260;117290
02.10.2018;117300;117310;117250;117260
02.10.2018;117250;117260;117200;117240
02.10.2018;117240;117260;117200;117230
02.10.2018;117230;117290;117210;117280
02.10.2018;117290;117290;117220;117270
02.10.2018;117250;117300;117250;117290
02.10.2018;117290;117390;117240;117370
02.10.2018;117370;117400;117320;117330
02.10.2018;117320;117410;117300;117410
02.10.2018;117410;117470;117370;117450
02.10.2018;117450;117550;117430;117500
02.10.2018;117500;117500;117420;117440
02.10.2018;117430;117450;117410;117450
02.10.2018;117440;117520;117440;117510
02.10.2018;117500;117520;117450;117460
02.10.2018;117480;117520;117460;117520
02.10.2018;117510;117520;117430;117440
02.10.2018;117440;117480;117400;117480
02.10.2018;117470;117480;117430;117430
02.10.2018;117450;117460;117340;117450
02.10.2018;117460;117510;117440;117480
02.10.2018;117480;117500;117410;117410
02.10.2018;117420;117460;117410;117450
02.10.2018;117460;117540;117430;117530
02.10.2018;117530;117600;117420;117420
02.10.2018;117430;117450;117410;117420
02.10.2018;117410;117420;117340;117360
02.10.2018;117370;117370;117280;117370
02.10.2018;117360;117430;117330;117390
02.10.2018;117410;117410;117340;117370
02.10.2018;117360;117370;117280;117280
02.10.2018;117280;117350;117280;117350
02.10.2018;117340;117370;117320;117360
02.10.2018;117370;117370;117330;117360
02.10.2018;117370;117370;117310;117320
02.10.2018;117320;117360;117300;117360
02.10.2018;117350;117380;117320;117380
02.10.2018;117390;117420;117380;117420
02.10.2018;117410;117420;117360;117380
02.10.2018;117360;117380;117280;117340
02.10.2018;117340;117390;117310;117350
02.10.2018;117340;117350;117210;117270
02.10.2018;117270;117330;117260;117320
02.10.2018;117320;117340;117270;117340
02.10.2018;117340;117360;117320;117330
02.10.2018;117320;117370;117310;117370
02.10.2018;117370;117370;117310;117330
02.10.2018;117330;117340;117280;117290
02.10.2018;117290;117320;117260;117300
02.10.2018;117310;117320;117280;117320
02.10.2018;117320;117320;117240;117270
02.10.2018;117290;117320;117250;117320
02.10.2018;117320;117410;117320;117370
02.10.2018;117380;117400;117340;117390
02.10.2018;117390;117430;117350;117420
02.10.2018;117420;117460;117400;117440
02.10.2018;117440;117440;117340;117370
02.10.2018;117370;117370;117320;117350
02.10.2018;117340;117390;117340;117370
02.10.2018;117380;117460;117360;117460
02.10.2018;117460;117480;117430;117450
02.10.2018;117460;117480;117410;117450
02.10.2018;117450;117490;117440;117450
02.10.2018;117460;117480;117450;117450
02.10.2018;117460;117470;117430;117460
02.10.2018;117470;117480;117430;117460
02.10.2018;117450;117470;117410;117420
02.10.2018;117420;117430;117380;117410
02.10.2018;117400;117400;117360;117390
02.10.2018;117390;117410;117360;117360
02.10.2018;117360;117370;117200;117200
02.10.2018;117210;117280;117160;117170
02.10.2018;117170;117190;117080;117130
02.10.2018;117140;117160;117020;117040
02.10.2018;117030;117080;117000;117070
02.10.2018;117060;117090;116960;116990
02.10.2018;116980;116990;116840;116960
02.10.2018;116960;117050;116930;117030
02.10.2018;117040;117110;117020;117090
02.10.2018;117100;117110;117070;117090
02.10.2018;117100;117110;117060;117070
02.10.2018;117080;117120;117050;117060
02.10.2018;117060;117130;117060;117100
02.10.2018;117100;117120;117060;117060
02.10.2018;117060;117060;117010;117040
02.10.2018;117050;117050;117000;117040
02.10.2018;117040;117060;117020;117030
02.10.2018;117040;117080;117000;117080
02.10.2018;117070;117120;117070;117100
02.10.2018;117110;117170;117100;117140
02.10.2018;117130;117140;117090;117130
02.10.2018;117130;117140;117100;117120
02.10.2018;117130;117140;117080;117080
02.10.2018;117100;117120;117040;117080
02.10.2018;117090;117130;117080;117130
02.10.2018;117130;117210;117110;117190
02.10.2018;117170;117280;117140;117220
02.10.2018;117230;117290;117220;117270
02.10.2018;117270;117300;117260;117290
02.10.2018;117300;117300;117260;117280
02.10.2018;117280;117300;117250;117270
02.10.2018;117270;117290;117250;117250
02.10.2018;117250;117260;117220;117230
02.10.2018;117250;117260;117180;117230
02.10.2018;117220;117240;117200;117220
02.10.2018;117220;117230;117180;117180
02.10.2018;117190;117250;117170;117250
02.10.2018;117250;117390;117250;117360
02.10.2018;117370;117370;117300;117320
02.10.2018;117340;117350;117290;117350
02.10.2018;117330;117350;117270;117320
02.10.2018;117290;117470;117280;117440
02.10.2018;117430;117550;117430;117550
02.10.2018;117550;117670;117540;117620
02.10.2018;117630;117640;117520;117530
02.10.2018;117540;117540;117500;117530
02.10.2018;117520;117530;117430;117430
02.10.2018;117430;117480;117430;117450
02.10.2018;117440;117470;117430;117460
02.10.2018;117470;117480;117450;117470
02.10.2018;117480;117550;117460;117530
02.10.2018;117530;117540;117470;117480
02.10.2018;117480;117510;117460;117490
02.10.2018;117500;117530;117490;117500
02.10.2018;117500;117530;117480;117520
02.10.2018;117520;117590;117520;117540
02.10.2018;117540;117550;117510;117530
02.10.2018;117530;117530;117440;117440
02.10.2018;117440;117460;117400;117410
02.10.2018;117410;117430;117350;117390
02.10.2018;117380;117410;117360;117410
02.10.2018;117410;117490;117400;117490
02.10.2018;117490;117660;117490;117610
02.10.2018;117610;117630;117520;117540
02.10.2018;117550;117630;117530;117630
02.10.2018;117630;117640;117550;117580
02.10.2018;117580;117690;117570;117680
02.10.2018;117690;117810;117680;117730
02.10.2018;117730;117800;117730;117800
02.10.2018;117790;117860;117790;117820
02.10.2018;117820;117840;117770;117820
02.10.2018;117830;117830;117750;117750
02.10.2018;117750;117800;117730;117750
02.10.2018;117760;117820;117750;117760
02.10.2018;117760;117780;117730;117780
02.10.2018;117770;117800;117730;117740
02.10.2018;117740;117810;117740;117790
02.10.2018;117800;117830;117760;117800
02.10.2018;117810;117820;117780;117790
02.10.2018;117800;117820;117760;117800
02.10.2018;117800;117800;117700;117730
02.10.2018;117720;117730;117640;117640
02.10.2018;117640;117680;117630;117650
02.10.2018;117650;117690;117630;117650
02.10.2018;117640;117990;117630;117890
02.10.2018;117900;117960;117850;117860
02.10.2018;117870;117910;117820;117850
02.10.2018;117870;117930;117860;117900
02.10.2018;117900;117940;117880;117880
02.10.2018;117880;117900;117860;117890
02.10.2018;117880;117880;117830;117840
02.10.2018;117850;117880;117770;117800
02.10.2018;117800;117830;117780;117800
02.10.2018;117810;117860;117750;117750
02.10.2018;117750;117810;117750;117780
02.10.2018;117780;117800;117750;117750
02.10.2018;117750;117820;117740;117780
02.10.2018;117790;117860;117780;117840
02.10.2018;117830;117880;117810;117850
02.10.2018;117840;117930;117840;117890
02.10.2018;117900;117930;117860;117880
02.10.2018;117890;117920;117850;117890
02.10.2018;117880;117900;117640;117650
02.10.2018;117660;117770;117610;117720
02.10.2018;117710;117790;117700;117790
02.10.2018;117790;117800;117740;117790
02.10.2018;117780;117790;117710;117760
02.10.2018;117760;117780;117670;117670
02.10.2018;117670;117740;117650;117690
02.10.2018;117690;117730;117690;117730
02.10.2018;117720;117780;117710;117770
02.10.2018;117780;117780;117700;117740
02.10.2018;117750;117800;117750;117770
02.10.2018;117770;117790;117700;117720
02.10.2018;117710;117750;117690;117750
02.10.2018;117730;117790;117730;117790
02.10.2018;117770;117810;117750;117750
02.10.2018;117760;117800;117740;117790
02.10.2018;117790;117790;117740;117760
02.10.2018;117760;117760;117720;117740
02.10.2018;117760;117780;117730;117780
02.10.2018;117790;117880;117760;117830
02.10.2018;117840;117860;117810;117840
02.10.2018;117840;117880;117840;117860
02.10.2018;117850;117860;117790;117790
02.10.2018;117790;117820;117780;117790
02.10.2018;117800;117830;117790;117820
02.10.2018;117820;117840;117790;117800
02.10.2018;117790;117810;117760;117760
02.10.2018;117760;117770;117710;117740
02.10.2018;117750;117780;117750;117750
02.10.2018;117740;117750;117440;117470
02.10.2018;117470;117480;117430;117470
02.10.2018;117480;117490;117430;117440
02.10.2018;117440;117540;117400;117520
02.10.2018;117510;117540;117480;117500
02.10.2018;117490;117510;117440;117440
02.10.2018;117440;117550;117400;117550
02.10.2018;117540;117670;117500;117610
02.10.2018;117620;117640;117530;117530
02.10.2018;117530;117600;117520;117590
02.10.2018;117590;117610;117530;117550
02.10.2018;117540;117560;117480;117540
02.10.2018;117540;117610;117520;117590
02.10.2018;117600;117660;117590;117620
02.10.2018;117610;117720;117610;117700
02.10.2018;117690;117770;117690;117720
02.10.2018;117720;117760;117650;117690
02.10.2018;117700;117750;117690;117730
02.10.2018;117720;117750;117720;117750
02.10.2018;117760;117760;117710;117750
02.10.2018;117750;117770;117690;117730
02.10.2018;117730;117760;117720;117720
02.10.2018;117730;117790;117730;117760
02.10.2018;117750;117800;117750;117800
02.10.2018;117790;117820;117750;117760
02.10.2018;117760;117790;117660;117660
02.10.2018;117650;117660;117580;117660
02.10.2018;117650;117700;117620;117670
02.10.2018;117680;117730;117650;117690
02.10.2018;117690;117730;117690;117730
02.10.2018;117720;117720;117640;117660
02.10.2018;117670;117710;117670;117700
02.10.2018;117680;117690;117610;117620
02.10.2018;117610;117610;117560;117560
02.10.2018;117560;117570;117500;117510
02.10.2018;117510;117540;117450;117480
02.10.2018;117490;117530;117460;117520
02.10.2018;117520;117630;117520;117590
02.10.2018;117600;117640;117580;117610
02.10.2018;117620;117680;117610;117660
02.10.2018;117680;117730;117620;117730
02.10.2018;117740;117820;117680;117790
02.10.2018;117780;117810;117770;117770
02.10.2018;117780;117850;117760;117800
02.10.2018;117790;117800;117730;117750
02.10.2018;117750;117800;117710;117730
02.10.2018;117730;117730;117630;117660
02.10.2018;117660;117700;117660;117660
02.10.2018;117670;117720;117660;117690
02.10.2018;117680;117690;117550;117590
02.10.2018;117600;117650;117580;117650
02.10.2018;117650;117680;117600;117610
02.10.2018;117610;117620;117550;117580
02.10.2018;117590;117640;117530;117530
02.10.2018;117540;117620;117530;117600
02.10.2018;117600;117750;117600;117690
02.10.2018;117690;117690;117550;117610
02.10.2018;117620;117620;117470;117480
02.10.2018;117480;117480;117360;117420
02.10.2018;117410;117460;117380;117390
02.10.2018;117390;117480;117390;117400
02.10.2018;117400;117420;117250;117330
02.10.2018;117320;117370;117270;117340
02.10.2018;117320;117380;117290;117350
02.10.2018;117370;117460;117370;117410
02.10.2018;117410;117530;117390;117460
02.10.2018;117450;117470;117420;117440
02.10.2018;117430;117490;117420;117490
02.10.2018;117480;117490;117420;117430
02.10.2018;117440;117490;117380;117480
02.10.2018;117480;117670;117470;117670
02.10.2018;117660;117680;117590;117630
02.10.2018;117640;117670;117600;117620
02.10.2018;117630;117670;117580;117600
02.10.2018;117600;117610;117540;117550
02.10.2018;117560;117620;117560;117590
02.10.2018;117590;117630;117550;117590
02.10.2018;117580;117610;117510;117540
02.10.2018;117540;117550;117460;117490
02.10.2018;117500;117510;117360;117360
02.10.2018;117360;117410;117340;117360
02.10.2018;117350;117400;117280;117400
02.10.2018;117390;117420;117360;117420
02.10.2018;117410;117530;117390;117510
02.10.2018;117530;117530;117470;117490
02.10.2018;117490;117620;117450;117600
02.10.2018;117590;117660;117540;117580
02.10.2018;117560;117630;117540;117610
02.10.2018;117620;117640;117530;117560
02.10.2018;117540;117540;117450;117490
02.10.2018;117510;117510;117320;117350
02.10.2018;117330;117420;117320;117390
02.10.2018;117410;117410;117340;117340
02.10.2018;117330;117350;117220;117280
02.10.2018;117290;117290;117170;117200
02.10.2018;117190;117240;117170;117210
02.10.2018;117210;117220;117130;117200
02.10.2018;117200;117260;117180;117220
02.10.2018;117230;117260;117220;117260
02.10.2018;117250;117260;117220;117260
02.10.2018;117260;117350;117260;117350
02.10.2018;117350;117400;117310;117320
02.10.2018;117320;117340;117260;117270
02.10.2018;117260;117270;117200;117220
02.10.2018;117210;117230;117160;117190
02.10.2018;117190;117230;117120;117140
02.10.2018;117160;117160;117030;117040
02.10.2018;117040;117090;117020;117030
02.10.2018;117050;117130;117040;117120
02.10.2018;117110;117120;117050;117060
02.10.2018;117050;117080;117040;117070
02.10.2018;117070;117110;117060;117080
02.10.2018;117100;117130;117090;117100
02.10.2018;117090;117100;116870;116880
02.10.2018;116880;116960;116790;116960
02.10.2018;116960;117100;116940;117060
02.10.2018;117060;117130;117040;117130
02.10.2018;117120;117140;117040;117060
02.10.2018;117070;117070;116980;117000
02.10.2018;117000;117020;116910;116950
02.10.2018;116950;117020;116910;117000
02.10.2018;117000;117010;116870;116880
02.10.2018;116870;116890;116710;116770
02.10.2018;116760;116760;116670;116690
02.10.2018;116690;116740;116660;116680
02.10.2018;116680;116690;116620;116680
02.10.2018;116670;116710;116540;116690
02.10.2018;116690;116760;116690;116720
02.10.2018;116710;116760;116700;116730
02.10.2018;116720;116740;116510;116560
02.10.2018;116550;116640;116470;116620
02.10.2018;116620;116680;116590;116600
02.10.2018;116600;116680;116580;116670
02.10.2018;116670;116730;116600;116720
02.10.2018;116720;116830;116700;116750
02.10.2018;116760;116840;116750;116840
02.10.2018;116830;116840;116790;116820
02.10.2018;116810;116880;116810;116840
02.10.2018;116840;116840;116760;116840
02.10.2018;116830;116850;116690;116720
02.10.2018;116710;116770;116670;116740
02.10.2018;116740;116740;116700;116730
02.10.2018;116720;116740;116670;116720
02.10.2018;116710;116740;116700;116740
02.10.2018;116730;116750;116710;116720
02.10.2018;116740;116800;116580;116610
02.10.2018;116620;116690;116610;116680
02.10.2018;116680;116720;116670;116720
02.10.2018;116720;116780;116700;116740
02.10.2018;116740;116850;116730;116850
02.10.2018;116850;116920;116820;116900
02.10.2018;116920;116970;116880;116950
02.10.2018;116950;116960;116870;116920
02.10.2018;116900;116950;116850;116890
02.10.2018;116900;116920;116870;116900
02.10.2018;116900;116900;116780;116810
02.10.2018;116800;116820;116770;116790
02.10.2018;116790;116800;116720;116780
02.10.2018;116790;116850;116790;116810
02.10.2018;116800;116810;116760;116770
02.10.2018;116780;116780;116650;116730
02.10.2018;116720;116780;116710;116780
02.10.2018;116770;116770;116730;116750
02.10.2018;116740;116750;116680;116740
02.10.2018;116730;116730;116640;116670
02.10.2018;116660;116720;116630;116700
02.10.2018;116710;116850;116710;116840
02.10.2018;116840;116900;116840;116860
02.10.2018;116860;116970;116860;116940
02.10.2018;116960;117020;116930;116970
02.10.2018;116990;117180;116970;117140
02.10.2018;117150;117230;117110;117200
02.10.2018;117200;117270;117170;117260
02.10.2018;117270;117300;117200;117220
02.10.2018;117200;117220;117170;117200
02.10.2018;117200;117270;117180;117200
02.10.2018;117200;117230;117160;117160
02.10.2018;117170;117230;117150;117200
02.10.2018;117210;117270;117190;117230
02.10.2018;117220;117240;117140;117140
02.10.2018;117150;117170;117080;117110
02.10.2018;117100;117150;117090;117150
02.10.2018;117150;117160;117110;117160
02.10.2018;117150;117160;116940;116950
02.10.2018;116960;117040;116960;117010
02.10.2018;117010;117160;117000;117110
02.10.2018;117110;117140;117100;117130
02.10.2018;117130;117140;117070;117110
02.10.2018;117100;117130;117070;117090
02.10.2018;117090;117120;117060;117060
02.10.2018;117050;117230;117050;117150
02.10.2018;117140;117340;117140;117320
02.10.2018;117330;117530;117330;117490
02.10.2018;117490;117520;117410;117440
02.10.2018;117450;117500;117430;117440
02.10.2018;117440;117440;117310;117330
02.10.2018;117320;117370;117320;117360
02.10.2018;117360;117380;117340;117380
02.10.2018;117390;117400;117280;117320
02.10.2018;117320;117320;117210;117260
02.10.2018;117260;117350;117250;117300
02.10.2018;117300;117300;117230;117230
02.10.2018;117230;117280;117230;117260
02.10.2018;117260;117270;117230;117240
02.10.2018;117240;117250;117150;117150
02.10.2018;117160;117220;117130;117130
02.10.2018;117140;117140;117080;117130
02.10.2018;117130;117170;117120;117150
02.10.2018;117150;117170;117080;117100
02.10.2018;117090;117100;117030;117090
02.10.2018;117090;117140;117090;117110
02.10.2018;117100;117140;117070;117100
02.10.2018;117100;117130;117100;117100
02.10.2018;117110;117200;117110;117200
02.10.2018;117200;117220;117180;117210
02.10.2018;117220;117230;117180;117180
02.10.2018;117190;117210;117140;117140
02.10.2018;117140;117170;117120;117170
02.10.2018;117140;117170;117120;117140
02.10.2018;117140;117160;117120;117130
02.10.2018;117130;117160;117100;117160
02.10.2018;117170;117180;117130;117150
02.10.2018;117150;117150;117120;117150
02.10.2018;117160;117210;117160;117190
02.10.2018;117180;117210;117180;117190
02.10.2018;117190;117200;117160;117190
02.10.2018;117170;117240;117160;117240
02.10.2018;117240;117250;117160;117190
02.10.2018;117200;117200;117180;117180
02.10.2018;117190;117200;117180;117180
02.10.2018;117180;117220;117140;117160
02.10.2018;117160;117170;117070;117090
02.10.2018;117090;117110;117020;117040
02.10.2018;117040;117080;117020;117040
02.10.2018;117040;117040;116950;116970
02.10.2018;116960;116990;116920;116990
02.10.2018;116990;117000;116940;116950
02.10.2018;116950;117060;116940;117050
02.10.2018;117050;117070;117010;117010
02.10.2018;117020;117030;117000;117000
02.10.2018;117000;117010;116860;116870
02.10.2018;116890;116940;116860;116940
02.10.2018;116920;116960;116890;116890
02.10.2018;116890;116940;116870;116910
02.10.2018;116920;116930;116890;116900
02.10.2018;116910;116980;116890;116960
02.10.2018;116980;117010;116950;116950
02.10.2018;116950;116990;116950;116990
02.10.2018;116990;117010;116970;116980
02.10.2018;116990;116990;116960;116970
02.10.2018;116960;117050;116950;117050
02.10.2018;117030;117040;116950;116960
02.10.2018;116950;116980;116950;116970
02.10.2018;116960;116960;116890;116920
02.10.2018;116910;116940;116900;116910
02.10.2018;116910;116980;116900;116980
02.10.2018;116980;117040;116970;117030
02.10.2018;117020;117030;117000;117030
02.10.2018;117020;117030;117020;117030
02.10.2018;117040;117040;117020;117020
02.10.2018;117030;117030;117010;117010
02.10.2018;117010;117040;117010;117030
02.10.2018;117030;117050;117000;117030
02.10.2018;117040;117080;117040;117080
02.10.2018;117080;117090;117060;117080
02.10.2018;117070;117070;117020;117020
02.10.2018;117020;117040;117010;117040
02.10.2018;117040;117070;117030;117070
02.10.2018;117070;117080;117060;117060
02.10.2018;117050;117060;117040;117050
02.10.2018;117050;117060;117020;117020
02.10.2018;117020;117020;116970;117000
02.10.2018;117000;117030;117000;117010
02.10.2018;117010;117050;117010;117050
02.10.2018;117060;117070;117040;117050
02.10.2018;117040;117060;117040;117050
02.10.2018;117060;117070;117050;117070
02.10.2018;117050;117070;117050;117070
02.10.2018;117060;117060;117030;117040
02.10.2018;117040;117060;117030;117030
02.10.2018;117040;117040;116990;117040
02.10.2018;117050;117050;116990;116990
02.10.2018;116990;117000;116950;116970
02.10.2018;116960;116980;116940;116950
02.10.2018;116960;116970;116930;116970
02.10.2018;116980;116990;116950;116970
02.10.2018;116960;116990;116960;116980
02.10.2018;116980;117010;116980;116990
02.10.2018;116990;117010;116990;117000
02.10.2018;116990;116990;116950;116950
02.10.2018;116950;116980;116950;116980
02.10.2018;116990;117040;116990;117040
02.10.2018;117040;117060;117030;117040
02.10.2018;117050;117090;117050;117050
02.10.2018;117050;117060;117040;117060
02.10.2018;117060;117090;117040;117070
02.10.2018;117060;117080;117050;117070
02.10.2018;117090;117130;117080;117090
02.10.2018;117090;117150;117090;117110
02.10.2018;117110;117140;117100;117100
02.10.2018;117100;117110;117100;117110
02.10.2018;117110;117110;117070;117070
02.10.2018;117070;117080;117050;117060
02.10.2018;117070;117070;117010;117040
02.10.2018;117020;117090;117020;117090
02.10.2018;117090;117100;117070;117100
02.10.2018;117100;117130;117090;117100
02.10.2018;117100;117100;117050;117050
02.10.2018;117050;117060;117020;117040
02.10.2018;117030;117030;117000;117010
02.10.2018;117000;117030;117000;117010
02.10.2018;117020;117070;117010;117040
02.10.2018;117050;117100;117050;117090
02.10.2018;117100;117110;117080;117110
02.10.2018;117110;117160;117100;117100
02.10.2018;117100;117160;117100;117160
02.10.2018;117160;117180;117120;117150
02.10.2018;117160;117210;117120;117210
02.10.2018;117210;117220;117170;117180
02.10.2018;117200;117200;117160;117160
02.10.2018;117160;117180;117150;117150
02.10.2018;117150;117150;117090;117120
02.10.2018;117140;117150;117130;117150
02.10.2018;117150;117160;117150;117150
