27/09/18 - Открытие;27/09/18 - Максимум;27/09/18 - Минимум;27/09/18 - Закрытие;02/10/18 -  Открытие;02/10/18 - Максимум;02/10/18 - Минимум;02/10/18 - Закрытие;27/11/18 - Открытие;27/11/18 - Максимум;27/11/18 - Минимум;27/11/18 - Закрытие;04/12/18 - Открытие;04/12/18 - Максимум;04/12/18 - Минимум;04/12/18 - Закрытие
115330;115360;115310;115350;118320;118320;118010;118060;109470;109510;109440;109510;115000;115050;114980;115020
115350;115370;115300;115330;118050;118150;118040;118060;109520;109640;109490;109600;115030;115040;114990;115040
115340;115360;115310;115330;118060;118150;118060;118110;109600;109620;109360;109440;115040;115080;115020;115080
115330;115370;115300;115310;118120;118240;118120;118240;109430;109470;109400;109420;115060;115100;115010;115100
115300;115350;115300;115320;118240;118290;118180;118260;109420;109460;109180;109220;115090;115100;115060;115090
115330;115350;115300;115330;118260;118290;118230;118240;109220;109370;109200;109330;115070;115080;114980;115030
115340;115380;115300;115380;118240;118310;118240;118250;109330;109360;109280;109330;115030;115040;115000;115020
115380;115640;115360;115570;118260;118260;118180;118190;109340;109400;109330;109360;115000;115020;114980;115000
115570;115670;115570;115650;118200;118420;118190;118410;109360;109410;109320;109360;114990;115010;114960;114980
115660;115680;115590;115620;118410;118420;118300;118340;109370;109370;109280;109300;114980;115050;114980;115030
115620;115650;115600;115600;118350;118350;118260;118290;109300;109400;109270;109390;115030;115080;115020;115080
115590;115640;115570;115610;118290;118290;118230;118250;109400;109420;109270;109280;115090;115140;115050;115110
115590;115630;115560;115570;118260;118280;118230;118260;109290;109370;109280;109340;115100;115100;115050;115090
115570;115600;115560;115560;118270;118340;118250;118250;109340;109410;109200;109260;115100;115140;115090;115130
115560;115600;115550;115550;118270;118280;118140;118150;109240;109240;109110;109150;115140;115160;115080;115140
115550;115550;115510;115550;118160;118190;118120;118190;109150;109210;109070;109200;115150;115170;115100;115120
115550;115620;115550;115600;118190;118210;118120;118120;109210;109210;109090;109150;115130;115140;115100;115130
115610;115610;115560;115570;118120;118130;118080;118080;109150;109200;109140;109160;115140;115150;115110;115150
115560;115600;115560;115600;118090;118150;118060;118090;109170;109190;109090;109160;115150;115160;115130;115150
115610;115640;115570;115580;118070;118110;118050;118070;109170;109170;108960;109020;115150;115230;115130;115230
115580;115580;115460;115480;118060;118110;118050;118110;109020;109030;108900;108930;115220;115220;115160;115210
